"Project","RelativePath","SHA256","Length","DuplicateCount","CanonicalArchive"
"Apex","Aura_Legacy_Archive\01_ProjectAudit\Aura_Current_State.md","A1ADE45A7BF353360A8FAC5FEE5A0572592626C32088BE6F3705D9B36F821635","4388","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/01_ProjectAudit/Aura_Current_State.md"
"Apex","Aura_Legacy_Archive\01_ProjectAudit\Working_Tree_Classification_2026-06-26.md","0863E5D236E92169E4E70B5EBAA07700C1D87744D845342347BF69E706DFFB32","5367","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/01_ProjectAudit/Working_Tree_Classification_2026-06-26.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\2026-07-09_SkillSystem_Architecture_Refactor_Summary.md","423DEE423DA202B5D93DE5B9D61114EFC79C5A13B79AF3A6CF7D3D229D8F5E69","25229","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/2026-07-09_SkillSystem_Architecture_Refactor_Summary.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\2026-07-13_Phase_PlayerReplacement_MovementPlan.md","0FBCB8BA706F427C592E5DF25F5DEFF43F799D1E794C7EFEF3200137500A620E","6463","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/2026-07-13_Phase_PlayerReplacement_MovementPlan.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\2026-07-13_Phase_SpellValidationCharacter_Plan.md","C09C65CF1C35F36793E613D2C0E598F3442A7C3DD519F24282F4F659972A7C4C","5775","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/2026-07-13_Phase_SpellValidationCharacter_Plan.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\2026-07-13_ThirdPartyAsset_Audit_For_Skill_Prototype.md","9388AB5312ED602B0F08EAC7760F4FE71925ADC2EF455A0BE466D753575A01EB","15777","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/2026-07-13_ThirdPartyAsset_Audit_For_Skill_Prototype.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\Combat_Foundation_RFC.md","D2965664459F682B238A973714FA4A86BA84D31B50DD12C66F10D0D76F5B49F2","21099","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/02_SkillSystem/Combat_Foundation_RFC.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\Combat_Foundation_Runtime_Notes.md","043DA9E39117A616BBA72AC48DB0713A46CA57E9699171E303BD5889812D6CDE","5028","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/Combat_Foundation_Runtime_Notes.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\Fireball_Minimal_Asset_Inventory.md","433853A0E3C17D884E61D17D34D9832619772D8D766A0B3351640197F9761B48","8770","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/Fireball_Minimal_Asset_Inventory.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\GAS_Architecture_Options.md","CE345E4A01D93417B0D8239D4822FAC5DB383A7D5D6B81D3F6C2FC80B499FDF3","9464","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/GAS_Architecture_Options.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\Montage_GameplayEvent_Timing_Decision.md","99F9D646A7AB0029B249B0EC1B3430C80B288E8ACCB635EB77FAB6CABBA78D3B","2682","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/02_SkillSystem/Montage_GameplayEvent_Timing_Decision.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\README.md","59CF2AA35CFB34CB30D9F2111213B2282188D850085CDCBD20EE69141F87C96C","1214","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/README.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\Representative_Skill_Portfolio.md","123C8050BD2F1789289AC4531F5058724D2FB37B29855A022EDC975338DCEA3E","6362","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/Representative_Skill_Portfolio.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\Skill_Mechanic_Catalog.md","C3E7877A3CD159E5A05A72380C473EEFD33598081DE8F226D99AAB3A8BD97A27","13986","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/Skill_Mechanic_Catalog.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\Skill_Mechanic_Taxonomy.md","93D8F49991FE1CA8491215E4AFFF60266AB02BED8838ECCC0918B8C32575E10E","3807","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/Skill_Mechanic_Taxonomy.md"
"Apex","Aura_Legacy_Archive\02_SkillSystem\Skill_Mechanic_Taxonomy_Discussion.md","F217B8223A39B74974BE1CD6B0D8FBDC7FA2AE5A542E58E1C25E454C3D99C1F7","4944","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/02_SkillSystem/Skill_Mechanic_Taxonomy_Discussion.md"
